Raw Coincidences (AB) - Plot 0,Expected Statistical Correction (AB) - Plot 0
71,28
88,27
86,27
63,27.1
90,26.7
74,26.8
85,26.7
87,26.5
80,27.2
72,26.7
90,26.8
89,26.8
84,26.9
83,26.9
101,27.3
84,26.7
87,27.8
87,29
77,29.3
104,29
81,29.3
86,29.2
85,29.2
97,29.2
89,29
82,29
88,28.8
82,27.2
81,27
78,26.9
102,28.5
76,29.1
80,29.1
99,29.2
84,29
74,29.2
84,29.1
93,29.2
97,29.2
81,29.2
80,29.3
69,29.4
87,29.4
99,29.3
92,29.7
90,29.2
96,29.3
85,30.9
113,31.3
105,31
86,30.7
79,29.8
93,29.5
87,29.3
66,14
1,0
