Raw Coincidences (AB) - Plot 0,Expected Statistical Correction (AB) - Plot 0
104,33.3
116,33.4
115,33.4
107,34.1
124,33.9
105,34.2
106,34.1
99,33.8
129,34
114,34.2
114,34.5
98,34.6
115,34.3
100,34.3
105,34.2
119,34.1
121,34.3
127,34.5
94,34.3
103,34.2
105,34.3
112,34.3
123,34.1
112,34.2
104,34.2
104,34.5
111,34.4
115,34.5
107,34.5
123,34.5
119,34.6
119,34.5
119,34.2
116,34.2
102,34.2
131,34.5
99,34.4
137,34.3
108,34.5
116,34.9
111,34.8
119,34.9
120,34.7
100,34.5
128,34.2
110,34.5
118,34.4
96,34.3
115,35
119,34.3
111,34
110,34.7
119,34.7
115,34.5
