Raw Coincidences (AB) - Plot 0,Expected Statistical Correction (AB) - Plot 0
138,32.3
136,33
158,47.9
142,32.9
142,32.5
155,33
149,32.7
137,32.9
116,32.8
127,32.4
128,33.1
139,32.7
137,32.6
146,32.8
142,32.7
125,32.5
131,32.5
146,32.6
118,32.8
125,32.3
146,33
147,32.5
130,32.7
124,32.8
123,32.3
131,32.4
131,32.7
150,32.6
125,32.5
152,33
143,32.7
136,32.4
137,32.5
138,32.5
153,32.6
123,32.6
135,32.7
152,32.7
157,32.3
150,32.5
147,32.5
138,32.6
123,32.7
146,32.5
145,32
