Raw Coincidences (AB) - Plot 0,Expected Statistical Correction (AB) - Plot 0
34,21.5
43,21.3
49,21.3
44,20.5
33,21.2
48,21
31,21.3
38,20.9
39,21
42,21.7
53,21.7
44,21.6
41,20.8
47,20.7
39,20.5
46,20.5
40,21.5
58,21.4
37,21.6
52,22.2
39,20.7
40,20.9
41,20.2
31,19.8
38,20
37,20.1
58,20
38,20.2
53,20.3
46,19.9
40,21.4
56,21.5
50,21.4
39,21.5
45,21.6
32,21.4
41,21.4
41,21.3
43,21.2
56,21.4
50,21.5
41,21.6
46,21.2
43,21.2
46,21.4
39,21.4
53,21.2
49,22.1
53,22.1
47,22.1
50,22.1
45,22.1
50,20.9
44,21.3
56,21.3
57,21.3
44,21.5
