Raw Coincidences (AB) - Plot 0,Expected Statistical Correction (AB) - Plot 0
45,21
44,21.1
42,20.1
32,19.9
39,19.7
43,19.7
57,19.3
51,19.9
45,19.7
40,19.9
33,19.9
47,19.9
55,19.8
40,19.7
44,19.7
47,19.8
41,19.8
47,20
34,19.9
48,19.6
44,19.8
35,20
40,20.1
47,20.6
60,20.7
36,19.6
58,19.6
59,19.8
40,19.8
50,19.6
50,19.8
42,20.1
52,19.8
38,19.7
38,19.7
56,19.8
43,19.8
46,20
51,19.8
56,19.9
45,19.9
44,19.6
46,19.9
36,19.9
41,19.7
44,19.7
54,19.6
48,20.7
52,19.8
43,19.7
46,19.6
36,20.1
50,21
49,20.9
35,21
55,21.1
