Raw Coincidences (AB) - Plot 0,Expected Statistical Correction (AB) - Plot 0
40,21.8
46,21.3
52,21.7
52,21.6
51,21.6
56,22.1
59,21.7
59,21.4
65,21.6
44,21.6
53,21.4
57,21.6
53,21.8
55,21.6
53,21.9
48,21.5
54,21.8
60,21.9
63,21.4
58,21.6
57,21.5
52,21.5
71,21.4
48,21.6
46,21.3
63,21.6
51,21.5
50,21.8
63,21.6
59,21.9
52,21.5
54,21.8
46,21.5
42,21.9
62,21.8
56,21.5
63,21.6
43,22
53,22.1
66,22.1
41,21.8
51,21.5
57,21.7
54,21.6
47,21.4
55,21.6
53,21.8
58,21.6
50,21.5
50,21.5
