Raw Coincidences (AB) - Plot 0,Expected Statistical Correction (AB) - Plot 0
44,33.8
40,34.7
92,63.1
78,49.5
69,42.1
83,41.4
56,38.5
44,33.6
53,33.7
49,33.2
45,33.2
63,33.1
51,33.2
50,33.4
45,33.3
60,33.5
51,33.6
39,34.7
52,34.8
44,33.5
54,33.6
55,33.5
50,33.1
41,34.8
50,34.1
38,34.5
54,33.5
45,33.3
54,33.3
46,33.4
47,35.1
42,33.7
41,33.4
33,33.5
44,33.3
51,34.7
51,35
60,34.9
44,33.7
43,33.4
58,33.5
57,33.7
43,34.5
51,34.9
49,33.4
44,33.6
50,33.4
42,33.6
52,34.8
39,34.5
52,33.1
55,33.6
41,33.6
44,33.4
49,33.5
53,33.3
37,33.7
45,32.9
61,33.6
45,35.4
47,34.2
61,34.9
33,34.4
37,33.4
51,33.5
39,33.7
57,33.6
60,33.6
46,33.9
34,33.5
34,33.8
41,33.4
56,33.8
43,33.2
39,33.4
52,33.8
39,33.2
38,33.6
56,33.6
41,33.5
42,33.2
48,33.7
50,33.7
65,33.4
