Raw Coincidences (AB) - Plot 0,Expected Statistical Correction (AB) - Plot 0
54,35.2
55,35.4
58,35.3
57,34.8
53,35.3
46,35.4
45,35
49,35.1
59,33.1
43,33.4
50,33.8
56,33.6
48,33.2
63,33.2
50,33.5
61,35.6
62,35.5
61,35.6
48,35.3
41,35.6
46,35.7
47,35.6
52,35.5
60,35.4
55,35.9
54,35.5
52,36
52,35.3
42,35.5
62,35.7
48,35.3
64,35.9
65,35.6
52,35.9
72,35.6
42,35.6
46,35.9
51,35.8
41,35.8
45,35.6
47,35.9
57,35.9
63,35.6
42,35.6
49,36
53,35.9
62,35.3
58,35.6
55,37.5
55,36.5
61,34.8
61,35
48,35.4
56,35.4
54,35.5
54,35.1
58,34.9
