Raw Coincidences (AB) - Plot 0,Expected Statistical Correction (AB) - Plot 0
47,31.9
44,32.4
57,32.5
49,32.4
45,31.9
52,30.4
57,31.1
61,35
40,34.4
44,34.7
47,34.1
40,34.9
45,34
71,34.7
56,34.4
53,34.6
53,34.8
67,34.7
55,34.4
52,35.1
59,34.7
65,34.6
50,35
68,35
48,34.6
37,34.9
47,34.8
56,34.7
62,34.8
52,34.8
53,34.9
49,34.6
52,34.5
57,35.2
49,34.7
51,34.9
54,35
33,34.5
53,34.7
43,34.8
53,35.1
55,34.7
48,34.4
52,35
47,34.7
48,34.8
56,34.7
46,35
56,34.7
65,34.9
46,34.6
55,34.3
55,31.1
47,31.6
52,31.9
50,32
45,32
44,31.7
44,32.1
37,31.9
