Raw Coincidences (AB) - Plot 0,Expected Statistical Correction (AB) - Plot 0
133,32.6
112,32.2
112,32.5
104,32.3
122,32.4
134,32.7
116,32.3
126,32.4
109,30.8
116,30.3
113,32.3
120,32.1
112,32.4
130,32.6
125,32.2
116,32.3
133,32.2
115,34.1
93,34.9
101,35.1
114,35.3
118,35
111,35.2
123,31.8
116,31.9
119,32.9
122,32.6
109,32.2
114,32.2
120,32.7
125,32.5
120,31.9
125,32.4
121,32.3
141,32.3
111,32.3
126,32.3
135,32.3
111,32.3
132,32.2
113,32.5
119,32.5
101,32.2
115,32.4
98,32.1
97,32.4
118,32.1
97,30.8
131,32.4
112,32.4
105,32.5
111,32.5
