Raw Coincidences (AB) - Plot 0,Expected Statistical Correction (AB) - Plot 0
79,32.4
102,32.8
93,32.4
89,32.6
102,32.5
102,32.5
116,32.8
94,32.4
93,32.6
84,32.8
105,32.6
105,31.6
69,30.8
91,30.7
82,30.5
91,32.2
91,32.2
102,32.5
97,32.7
98,32.7
92,32.6
108,32.7
94,32.4
93,32.2
106,32.6
76,32.7
91,32.7
95,32.5
94,32.8
93,32.7
91,32.4
96,32.6
93,32.9
72,32.7
103,32.8
84,32.9
86,33
84,32.7
90,33
104,32.9
92,32.7
101,33.1
91,32.6
82,32.8
86,32.8
92,32.9
94,32.7
91,33.3
97,32.9
97,33.2
86,33
80,33.2
108,32.8
100,33.1
96,32.5
