Raw Coincidences (AB) - Plot 0,Expected Statistical Correction (AB) - Plot 0
82,31.8
67,32.3
76,32.6
95,33
65,32.6
73,32.4
63,31.9
88,32.2
92,32.4
80,32.3
91,32.4
76,31.8
66,32.2
90,32.1
74,32.1
66,31.9
80,31.9
68,31.9
76,31.9
79,32.2
67,32.3
86,32.2
64,32.1
72,31.8
78,32.1
87,32
70,32
74,31.9
88,32.1
81,31.7
89,32.3
88,32.3
90,31.9
86,32
106,32.2
82,31.9
77,31.9
69,32
80,31.9
81,31.9
76,32
92,31.9
77,31.9
75,32.3
76,32.2
76,32.2
77,32.1
94,32.2
79,32.1
61,32.1
81,32
68,32.2
68,32.7
63,31.8
81,32.2
85,32.8
