Raw Coincidences (AB) - Plot 0,Expected Statistical Correction (AB) - Plot 0
47,27.7
47,27.7
51,27.7
60,27.9
52,27.6
53,28
52,28.1
51,28.1
67,27.6
48,25.8
49,26.3
60,27.7
58,28.1
48,28.1
37,28
43,27.8
54,27.8
51,28.2
53,28.2
51,28.1
53,28.3
50,28.2
44,28.2
53,28.2
47,28.4
52,28.3
58,27.8
59,28.1
41,28.1
56,27.7
50,27.5
50,28
49,28.5
52,27.9
50,28.2
57,28.2
39,28.4
67,28
49,27.9
43,28.2
60,27.8
48,28
44,28.4
65,28
41,27.9
51,27.9
53,28.4
56,28.2
43,27.9
53,28
54,28.1
52,28.2
48,28.1
62,28.1
59,28.2
48,27.8
63,28
42,28
60,27.7
