Raw Coincidences (AB) - Plot 0,Expected Statistical Correction (AB) - Plot 0
66,28.3
70,28.3
68,28.5
54,27.8
61,27
52,26.7
72,26.8
75,26.5
76,26.3
58,26.7
79,30.9
61,30.2
62,30.6
72,26.7
65,26.6
65,26.4
64,26.2
73,26
67,27.2
80,27.8
67,28.1
78,28.1
68,28.1
71,28.3
70,28.1
60,27.9
65,27.9
67,28.1
64,27.7
52,26.2
73,26.4
50,26
62,25.8
76,27.4
71,28.3
59,27.9
72,27.9
62,28.3
70,28
65,28.2
70,28.4
64,28.2
66,28.1
79,27.9
66,28.1
52,27.8
75,28.3
75,28.3
62,27.9
77,28.4
58,28.3
56,28
59,27.9
65,28.4
74,28
89,28.2
65,27.8
49,28.3
