Raw Coincidences (AB) - Plot 0,Expected Statistical Correction (AB) - Plot 0
87,37.6
94,37.9
104,37.4
75,37.9
92,36.1
103,37.9
113,40.5
97,40.3
93,40.4
82,40.4
98,40.8
99,40.9
106,40.3
100,40.4
66,40.5
104,40.6
91,40.5
96,40.4
105,40.6
73,40.4
106,40.2
92,40.2
89,40.2
92,40.2
102,40.6
94,40.3
87,39.1
89,35.4
94,35.5
115,35.5
95,35.4
112,40.1
93,39.2
93,37.7
87,37.8
105,38.3
102,38.3
92,38.2
90,37.8
96,37.8
96,37.8
99,37.4
95,37.2
100,38.3
97,38
91,37.7
87,37.8
101,37.3
96,37.9
99,37.6
107,37.4
104,37.6
