Raw Coincidences (AB) - Plot 0,Expected Statistical Correction (AB) - Plot 0
69,35.2
81,36.2
85,37.5
71,36.7
62,36.9
89,36.2
92,36.6
88,36.4
74,36.5
69,36.7
66,36.1
79,36.3
54,36.3
88,36.4
82,36
78,36.3
71,36.1
74,36.1
68,36.3
77,36
78,36.3
73,36.7
80,36.2
61,36
79,36.2
78,36.3
78,36.1
79,36.8
89,36.5
72,36.3
80,36.4
69,36.2
62,36
66,36.5
71,36.3
69,36.4
76,36.4
63,36.2
77,36.4
87,36
81,36.3
81,35.9
62,36.2
87,36.2
68,36.3
78,36.2
79,36.1
77,36.1
81,35.7
82,36.4
88,36.3
72,36.3
75,36.2
71,36.4
73,36.2
73,36.2
89,36.1
69,36.3
80,36.2
73,36.6
73,36
79,36.3
73,36.2
72,36.2
