Raw Coincidences (AB) - Plot 0,Expected Statistical Correction (AB) - Plot 0
63,22.9
42,22.1
77,21.1
85,25.4
64,25.8
61,25.4
60,25.2
56,25.1
62,25.2
61,25.3
56,25.5
55,25.7
61,25.4
62,25.6
64,25.5
69,25.4
62,25.5
79,26.2
52,25.7
65,26.1
68,25.8
56,25.8
66,25.9
69,25.4
64,25.5
61,25.6
63,25.6
71,25.5
66,25.5
72,25.5
76,21.5
55,21.1
48,21.2
59,21.2
62,23.1
52,23.3
45,23.4
53,23.1
71,23.1
62,23.2
63,23.3
54,23
68,22.7
43,23.3
70,23
52,23.2
72,22.9
63,23.2
70,23.2
69,23
72,23.1
70,23
55,23.4
59,23
