Raw Coincidences (AB) - Plot 0,Expected Statistical Correction (AB) - Plot 0
34,27.9
35,28.7
34,26.6
33,27.9
44,28.4
55,28.8
50,28.5
35,28.6
45,28.5
46,28.6
34,28.5
46,28.4
57,28.1
31,28.4
41,28.3
46,28.3
42,28.5
41,28.6
44,28.3
40,28.6
43,28
54,29.4
36,31.4
41,30.7
35,31
46,31.1
45,30.7
48,30.7
32,31
48,30.5
30,30.8
37,30.7
39,30.8
35,30.9
46,30.9
46,30.8
48,30.7
43,30.6
47,30.3
33,28.4
38,28.3
31,27.8
39,28.4
43,28.3
40,28.3
41,28
38,28.2
37,28.2
32,28
44,28
44,28.1
50,27.9
50,27.9
50,28
