Raw Coincidences (AB) - Plot 0,Expected Statistical Correction (AB) - Plot 0
104,25.6
115,25.4
95,25.4
126,25.5
96,24.1
79,23.6
89,24
94,23.8
98,23.8
105,24
105,24
119,25.3
101,25.7
110,25.7
89,25.5
81,25.6
99,25.7
93,25.5
108,25.7
92,25.7
102,25.4
99,25.2
112,25.3
94,25.8
100,25.7
107,25.7
127,25.6
79,25.5
113,25.5
90,25.7
97,25.6
108,26.1
98,25.5
103,26.2
127,26
101,25.6
111,25.6
101,25.9
116,25.8
97,25.4
105,25.5
97,25.6
98,25.8
90,25.5
110,25.5
85,25.7
97,25.7
83,25.5
