Raw Coincidences (AB) - Plot 0,Expected Statistical Correction (AB) - Plot 0
70,23.5
72,25.8
65,26.1
80,24
79,24.1
57,23.7
62,23.9
73,22.4
72,23.4
80,24.1
80,24
87,24.2
73,23.9
87,24.1
73,24.4
78,23.9
72,24.4
73,23.8
73,24
71,24.5
80,24.4
58,24.2
58,24.1
72,24.3
83,24.5
87,24.7
82,24.4
59,24.9
68,24.2
64,24.3
80,24
70,24
78,23.8
75,24.3
63,24.1
76,24
82,24.3
62,24
55,24.2
89,24.2
77,24.4
86,24.3
76,24.2
77,24.3
82,24.4
53,24.4
64,24.4
73,24.3
66,24.2
67,23.9
65,24.2
79,23.9
92,24.6
79,24.1
75,24.3
84,24.2
79,24.1
85,24
71,24
